descripcion,nombre,idTipo,idValor
,INSTITUTO SUPERIOR EUROHISPANO,11,268
,INSTITUTO SUPERIOR INFAP NOTRE DAME,11,269
,INSTITUTO SUPERIOR MONTESSORI,11,270
,INSTITUTO SUPERIOR PEDAGOGICO,11,271
,INSTITUTO SUPERIOR PEDAGOGICO FEMENINO GUILLERMINA ENCINAS DE NUNEZ,11,272
,INSTITUTO SUPERIOR PEDAGOGICO MARIA AUXILIADORA,11,273
,INSTITUTO SUPERIOR PEDAGOGICO PAULO FREIRE,11,274
,INSTITUTO SUPERIOR PEDAGOGICO PRIVADO AMAUTA,11,275
,INSTITUTO SUPERIOR PEDAGOGICO PRIVADO CATEQUETICO - ISPEC,11,276
,INSTITUTO SUPERIOR PEDAGOGICO PRIVADO PAULO VI,11,277
,INSTITUTO SUPERIOR PEDAGOGICO PUBLICO DE EDUCACION ESPECIAL MARIA MADRE,11,278
,INSTITUTO SUPERIOR PEDAGOGICO PUBLICO YAUYOS,11,279
,INSTITUTO SUPERIOR PEDAGOGICO SAN MARCOS,11,280
,INSTITUTO SUPERIOR PEDAGOGICO SOLIDARIDAD CAMPOY,11,281
,INSTITUTO SUPERIOR SALESIANO,11,282
,INSTITUTO SUPERIOR SAN SILVESTRE - MASTER BYTE,11,283
,INSTITUTO SUPERIOR SISE,11,284
,INSTITUTO SUPERIOR TECNICO ALEXANDER GRAHAM BELL,11,285
,INSTITUTO SUPERIOR TECNOLOGICO ALESSANDRO VOLTA,11,286
,INSTITUTO SUPERIOR TECNOLOGICO ALMIRANTE MIGUEL GRAU,11,287
,INSTITUTO SUPERIOR TECNOLOGICO CARLOS CUETO FERNANDINI,11,288
,INSTITUTO SUPERIOR TECNOLOGICO EL BUEN PASTOR,11,289
,INSTITUTO SUPERIOR TECNOLOGICO ELMER FAUCETT,11,290
,INSTITUTO SUPERIOR TECNOLOGICO JOSE PARDO,11,291
,INSTITUTO SUPERIOR TECNOLOGICO LUIS NEGREIROS VEGA,11,292
,INSTITUTO SUPERIOR TECNOLOGICO NORBERT WIENER,11,293
,INSTITUTO SUPERIOR TECNOLOGICO PRIVADO EN PROTESIS DENTAL,11,294
,INSTITUTO SUPERIOR TECNOLOGICO PUBLICO ARGENTINA,11,295
,INSTITUTO SUPERIOR TECNOLOGICO PUBLICO HUAYCAN,11,296
,INSTITUTO SUPERIOR TECNOLOGICO PUBLICO JUAN VELASCO ALVARADO,11,297
,INSTITUTO SUPERIOR TECNOLOGICO PUBLICO NACIONES UNIDAS,11,298
,INSTITUTO SUPERIOR TECNOLOGICO PUBLICO RAMIRO PRIALE PRIALE,11,299
,INSTITUTO SUPERIOR TECNOLOGICO PUBLICO SIMON BOLIVAR,11,300
,INSTITUTO SUPERIOR TECNOLOGICO PUBLICO VILLA MARIA,11,301
,INSTITUTO SUPERIOR TECNOLOGICO SANTA ANGELA,11,302
,INSTITUTO SUPERIOR TECNOLOGICO TAYLOR,11,303
,INSTITUTO SUPERIOR TECNOLOGICO VICENTE GARCIA,11,304
